"Control Transaction Discount","التحكم في خصم المعاملة",""
"Controlled Actions","الإجراءات الخاضعة للرقابة",""
"Controls the second print after a cashier completes an Awaiting Cashier invoice. The handoff print remains unchanged.","يتحكم في الطباعة الثانية بعد أن يكمل الكاشير فاتورة بانتظار الكاشير. وتبقى طباعة التسليم للكاشير دون تغيير.",""
"Copies","عدد النسخ",""
"Cost Center","مركز التكلفة",""
"Could not return to Recent Orders","تعذر الرجوع إلى الطلبات الأخيرة",""
"Count","العدد",""
"Coupon","الكوبون",""
"Coupon Code","رمز الكوبون",""
"Coupon Name","اسم الكوبون",""
"Coupon Type","نوع الكوبون",""
"Created","تاريخ الإنشاء",""
"Created Offline","تم الإنشاء أوفلاين",""
"Currency","العملة",""
"currency","العملة",""
"Current / Legacy","الحالي / القديم",""
"Current / Legacy keeps the existing connector behavior. Managed Bundle uses the QZ client bundled with WMN. Auto tries Managed first and falls back to Legacy.","الحالي / القديم يحافظ على سلوك الموصل الحالي. الحزمة المُدارة تستخدم عميل QZ المضمّن مع WMN. الوضع التلقائي يجرب المُدار أولًا ثم يعود إلى القديم عند الفشل.",""
"Custom CSS","CSS مخصص",""
"Custom CSS Code","كود CSS المخصص",""
"Custom Label","تسمية مخصصة",""
"Custom Page Height (in mm)","ارتفاع الصفحة المخصص (مم)",""
"Custom Page Width (in mm)","عرض الصفحة المخصص (مم)",""
"Custom URL","رابط مخصص",""
"Customer","العميل",""
"Customer Group","مجموعة العملاء",""
"Cut Paper","قص الورق",""
"Data Bits","بتات البيانات",""
"Data Type","نوع البيانات",""
"Default Expense Account","حساب المصروف الافتراضي",""
"Default Item View","عرض الأصناف الافتراضي",""
"Default Print Type","نوع الطباعة الافتراضي",""
"Delete","مسح",""
"Delete All","مسح الكل",""
"Delete all offline invoices from IndexedDB?","هل تريد مسح كل الفواتير الأوفلاين من IndexedDB؟",""
"Delete Failed","فشل المسح",""
"Delete failed: {0}","تعذر المسح: {0}",""
"Delete this invoice from IndexedDB?","هل تريد مسح هذه الفاتورة من IndexedDB؟",""
"Deleting...","جاري المسح...",""
"Description","الوصف",""
"Detect QZ Printers","اكتشاف طابعات QZ",""
"Direct WebSerial","WebSerial مباشر",""
"Direct WebSerial / ESC-POS","WebSerial مباشر / ESC-POS",""
"Direct WebUSB","WebUSB مباشر",""
"Direct WebUSB / ESC-POS","WebUSB مباشر / ESC-POS",""
"Disabled","معطل",""
"Discount","الخصم",""
"Discount Amount","مبلغ الخصم",""
"Discount Percentage","نسبة الخصم",""
"Discount Type","نوع الخصم",""
"Display Label","تسمية العرض",""
"Display Name","اسم العرض",""
"Divisor (for Float)","المقسوم عليه (للأرقام العشرية)",""
"DocType","نوع المستند",""
"Draft Synced","تمت مزامنة المسودة",""
"Dry Run (Test Only)","تشغيل تجريبي (للاختبار فقط)",""
"Early Exit Minutes","دقائق الانصراف المبكر",""
"Edit","تعديل",""
"Edit Offline Invoice","تعديل فاتورة أوفلاين",""
"Editable Offline","قابل للتعديل أوفلاين",""
"Employee","الموظف",""
"Employee Name","اسم الموظف",""
"Enable Auto Silent Print","تفعيل الطباعة الصامتة التلقائية",""
"Enable Custom CSS","تفعيل CSS المخصص",""
"Enable POS Cashier / Supervisor Control","تفعيل رقابة الكاشير / المشرف في نقطة البيع",""
"Enable Themes","تفعيل السمات",""
"enable_pos_offline","تفعيل نقطة البيع أوفلاين",""
"enable_workspace_header","تفعيل رأس مساحة العمل",""
"Enabled","مفعل",""
"End Time","وقت الانتهاء",""
"Enter payment amount first","أدخل مبلغ الدفع أولاً",""
"Error","خطأ",""
"ESC/POS Module Width","عرض وحدة باركود ESC/POS",""
"ESC/POS Receipt","إيصال ESC/POS",""
"Event","الحدث",""
"Examples: UTF8, IBM864. This is used for RAW printing only and must be supported by the printer.","أمثلة: UTF8 وIBM864. يُستخدم هذا للطباعة الخام RAW فقط ويجب أن تكون الطابعة داعمة له.",""
"Execution Log","سجل التنفيذ",""
"Expected Total Length","الطول الإجمالي المتوقع",""
"Expiry Date","تاريخ الانتهاء",""
"Failed","فشل",""
"Failed to delete invoice: {0}","تعذر مسح الفاتورة: {0}",""
"Failed to save invoice offline: {0}","تعذر حفظ الفاتورة أوفلاين: {0}",""
"Failed to sync invoice: {0}","تعذرت مزامنة الفاتورة: {0}",""
"Fallback Method","طريقة الطباعة الاحتياطية",""
"Fallback Printing Method","طريقة الطباعة الاحتياطية",""
"Feed Lines","أسطر تغذية الورق",""
"Field","الحقل",""
"Field Name (as in ERPNext)","اسم الحقل (كما في ERPNext)",""
"Field Type","نوع الحقل",""
"Fields","الحقول",""
"Fixed CSS","CSS ثابت",""
"Flow Control","التحكم في التدفق",""
"Found {0} printers. Select the printer to use.","تم العثور على {0} طابعات. اختر الطابعة التي تريد استخدامها.",""
"Free Item","الصنف المجاني",""
"Free Quantity","الكمية المجانية",""
"Friday","الجمعة",""
"Grand Total","الإجمالي",""
"Grid View","بطاقات",""
"Has Batch No","له رقم دفعة",""
"Has Serial No","له رقم تسلسلي",""
"Icon","الأيقونة",""
"Import Details","تفاصيل الاستيراد",""
"Initialize ESC/POS Printer","تهيئة طابعة ESC/POS",""
"Initialize Printer","تهيئة الطابعة",""
"Initialized","تمت التهيئة",""
"Invoice","الفاتورة",""
"Invoice added offline successfully: {0}","تمت إضافة الفاتورة أوفلاين بنجاح: {0}",""
"Invoice Barcode","باركود الفاتورة",""
"Invoice barcode scan failed","فشل مسح باركود الفاتورة",""
"Invoice barcode was not found","لم يتم العثور على باركود الفاتورة",""
"Invoice deleted","تم مسح الفاتورة",""
"Invoice DocType","نوع مستند الفاتورة",""
"Invoice Name","اسم الفاتورة",""
"Invoice Reference","مرجع الفاتورة",""
"Invoice sent to cashier and printed.","تم إرسال الفاتورة إلى الكاشير وطباعتها.",""
"Invoice synced","تمت مزامنة الفاتورة",""
"Invoice total is zero","إجمالي الفاتورة صفر",""
"Invoices saved in IndexedDB","الفواتير المحفوظة في IndexedDB",""
"Is Return","مرتجع",""
"Item","الصنف",""
"Item Code","رمز الصنف",""
"Item Group","مجموعة الأصناف",""
"Item Row","صف الصنف",""
"Items and Batches","الأصناف والدفعات",""
"Items Table","جدول الأصناف",""
"JavaScript","JavaScript",""
"Journal Entry","قيد اليومية",""
"Justification Type","نوع التبرير",""
"Label","التسمية",""
"Last Full Sync","آخر مزامنة كاملة",""
"Last PIN Change","آخر تغيير للرقم السري",""
"Last Sync","آخر مزامنة",""
"Late Minutes","دقائق التأخير",""
"Leave empty for local QZ Tray.","اتركه فارغًا لاستخدام QZ Tray المحلي.",""
"Length","الطول",""
"Load Strategy","استراتيجية التحميل",""
"Log","السجل",""
"Managed Bundle","الحزمة المُدارة",""
"Margin","الهوامش",""
"Margin Bottom (in mm)","الهامش السفلي (مم)",""
"Margin Left (in mm)","الهامش الأيسر (مم)",""
"Margin Right (in mm)","الهامش الأيمن (مم)",""
"Margin Top (in mm)","الهامش العلوي (مم)",""
"Master Tab ID","معرّف التبويب الرئيسي",""
"Maximum Applications Per Invoice","الحد الأقصى لمرات التطبيق لكل فاتورة",""
"Maximum Cash Expense Amount","الحد الأقصى لمبلغ المصروف النقدي",""
"Maximum Cash In Amount","الحد الأقصى لمبلغ الإدخال النقدي",""
"Maximum Cash Withdrawal Amount","الحد الأقصى لمبلغ السحب النقدي",""
"Maximum Discount Amount","الحد الأقصى لمبلغ الخصم",""
"Maximum Item Discount %","الحد الأقصى لخصم الصنف %",""
"Maximum Rate Reduction %","الحد الأقصى لتخفيض السعر %",""
"Maximum Return Amount","الحد الأقصى لمبلغ المرتجع",""
"Maximum Transaction Discount %","الحد الأقصى لخصم المعاملة %",""
"Maximum Use","الحد الأقصى للاستخدام",""
"Menu Group","مجموعة القائمة",""
"Menu Items","عناصر القائمة",""
"Menu Order","ترتيب القائمة",""
"Minimum Cart Amount","الحد الأدنى لقيمة السلة",""
"Minimum PIN Length","الحد الأدنى لطول الرقم السري",""
"Minimum Target Quantity","الحد الأدنى للكمية المستهدفة",""
"Mode of Payment","طريقة الدفع",""
"Monday","الاثنين",""
"Movement Type","نوع الحركة",""
"Net Total","الصافي الإجمالي",""
"No cached POS Profile payment method with an account is available.","لا توجد طريقة دفع مخزنة لملف تعريف نقطة البيع مرتبطة بحساب.",""
"No current POS doc","لا توجد فاتورة POS حالية",""
"No offline invoices saved","لا توجد فواتير أوفلاين محفوظة",""
"No open invoice","لا توجد فاتورة مفتوحة",""
"No payment methods found","لا توجد طرق دفع",""
"Offline - cached POS Profile defaults are used","أوفلاين - يتم استخدام الإعدادات الافتراضية المخزنة لملف تعريف نقطة البيع",""
"Offline Approval ID","معرّف الموافقة الأوفلاين",""
"Offline Document Sync","مزامنة السجلات",""
"Offline Fields","حقول الأوفلاين",""
"Offline ID","رقم الأوفلاين",""
"Offline invoice data is missing","بيانات الفاتورة الأوفلاين غير موجودة",""
"Offline Invoice ID","معرّف الفاتورة الأوفلاين",""
"Offline invoice loaded for editing","تم فتح الفاتورة الأوفلاين للتعديل",""
"Offline Invoices","فواتير الأوفلاين",""
"Offline Mode","وضع الأوفلاين",""
"Offline Save Failed","فشل الحفظ أوفلاين",""
"Offline Sync","مزامنة الفواتير",""
"Offset Account","الحساب المقابل",""
"Offset Accounts","الحسابات المقابلة",""
"One Use Per Customer","استخدام واحد لكل عميل",""
"Open Form View","فتح عرض النموذج",""
"Optional. Example: 0x04b8. If empty, the browser will request USB Printer-class devices.","اختياري. مثال: 0x04b8. إذا تُرك فارغًا فسيطلب المتصفح أجهزة USB من فئة الطابعات.",""
"Options","الخيارات",""
"Order","الترتيب",""
"Orientation","اتجاه الصفحة",""
"Outstanding Amount","المبلغ المستحق",""
"Override Cash Expense","تجاوز المصروف النقدي",""
"Override Cash In","تجاوز الإدخال النقدي",""
"Override Cash Withdrawal","تجاوز السحب النقدي",""
"Override Item Discount","تجاوز خصم الصنف",""
"Override Rate Change","تجاوز تغيير السعر",""
"Override Return","تجاوز المرتجع",""
"Override Transaction Discount","تجاوز خصم المعاملة",""
"Page Size","حجم الصفحة",""
"Paid","المدفوع",""
"Paid Amount","المبلغ المدفوع",""
"Paired USB Printer","طابعة USB المقترنة",""
"Parity","التكافؤ",""
"Party Account","حساب الطرف",""
"Party Name","اسم الطرف",""
"Payable","الذمم الدائنة",""
"Payment","الدفع",""
"Payment Amount","مبلغ الدفع",""
"Payment amount cannot exceed outstanding amount {0}.","لا يمكن أن يتجاوز مبلغ الدفع المبلغ المستحق {0}.",""
"Payment amount is less than invoice total","مبلغ الدفع أقل من إجمالي الفاتورة",""
"Payment Required","الدفع مطلوب",""
"Payment saved offline and will be synchronized as a Payment Entry.","تم حفظ الدفعة أوفلاين وستتم مزامنتها كسند دفع.",""
"PBKDF2 Iterations","عدد دورات PBKDF2",""
"Pending","قيد الانتظار",""
"Pending payment","دفع معلق",""
"Permanent Cashier Permissions","صلاحيات الكاشير الدائمة",""
"PIN Configured","تم إعداد الرقم السري",""
"PIN Hash","تجزئة الرقم السري",""
"PIN Iterations","عدد دورات الرقم السري",""
"PIN Salt","Salt الرقم السري",""
"Popup blocked. Allow popups.","تم حظر النافذة المنبثقة. اسمح بالنوافذ المنبثقة.",""
"POS Behavior","سلوك نقطة البيع",""
"POS Menu Configuration","إعداد قائمة نقطة البيع",""
"POS Opening Entry","قيد افتتاح نقطة البيع",""
"POS Profile","ملف تعريف نقطة البيع",""
"POS Profile is not ready.","ملف تعريف نقطة البيع غير جاهز.",""
"POS Profile Settings","إعدادات ملف تعريف نقطة البيع",""
"POS Scope","نطاق نقطة البيع",""
"POS Settings","إعدادات نقطة البيع",""
"POS settings saved as the POS Profile default.","تم حفظ إعدادات نقطة البيع كإعدادات افتراضية لملف تعريف نقطة البيع.",""
"POS settings saved for this browser and POS Profile.","تم حفظ إعدادات نقطة البيع لهذا المتصفح وملف تعريف نقطة البيع.",""
"POS Shift","وردية نقطة البيع",""
"Posting Date","تاريخ الترحيل",""
"Posting Datetime","تاريخ ووقت الترحيل",""
"Posting Time","وقت الترحيل",""
"Primary printer failed. Using {0}.","فشلت الطابعة الأساسية. سيتم استخدام {0}.",""
"Print Again After Cashier Completion","الطباعة مرة أخرى بعد إكمال الكاشير",""
"Print Barcode Value","طباعة قيمة الباركود",""
"Print Format","تنسيق الطباعة",""
"Print Receipt","طباعة الإيصال",""
"Print User","مستخدم الطباعة",""
"Printer","الطابعة",""
"Printer Name","اسم الطابعة",""
"Printer Settings","إعدادات الطابعة",""
"Printer settings saved as the POS Profile default.","تم حفظ إعدادات الطابعة كإعدادات افتراضية لملف تعريف نقطة البيع.",""
"Printer settings saved for this browser and POS Profile.","تم حفظ إعدادات الطابعة لهذا المتصفح وملف تعريف نقطة البيع.",""
"Printer URL saved","تم حفظ رابط الطابعة",""
"Printer WebSocket URL","رابط WebSocket للطابعة",""
"Printing","الطباعة",""
"Printing Method","طريقة الطباعة",""
"Priority","الأولوية",""
"Promotion","العرض الترويجي",""
"Promotion Code","رمز العرض الترويجي",""
"Promotion Name","اسم العرض الترويجي",""
"Promotion Type","نوع العرض الترويجي",""
"Quantity","الكمية",""
"Quantity is not available in offline stock","الكمية غير متوفرة في المخزون الأوفلاين",""
"QZ Connector Mode","وضع موصل QZ",""
"QZ Connector URL","رابط موصل QZ",""
"QZ Host","مضيف QZ",""
"QZ Raw Encoding","ترميز QZ الخام",""
"QZ Tray","QZ Tray",""
"R NO","رقم الإيصال",""
"RAW Template Code","كود قالب RAW",""
"RAW Templete","قالب RAW",""
"Reason","السبب",""
"Receipt Lifecycle","دورة طباعة الإيصال",""
"Receipt No","رقم الإيصال",""
"Receivable","الذمم المدينة",""
"Redeemed On","تاريخ الاستخدام",""
"Redemption Key","مفتاح الاستخدام",""
"Reference","المرجع",""
"Reference DocType","نوع مستند المرجع",""
"Reference Name","اسم المرجع",""
"Refresh","تحديث",""
"Related Checkin","تسجيل الحضور المرتبط",""
"Remarks","ملاحظات",""
"Repeat Benefit","تكرار المنفعة",""
"Require Reason for Supervisor Override","طلب سبب عند تجاوز المشرف",""
"Required Coupon","الكوبون المطلوب",""
"Required for QZ Tray. Use Detect QZ Printers, then select the exact printer name.","مطلوب لـ QZ Tray. استخدم اكتشاف طابعات QZ ثم اختر اسم الطابعة المطابق تمامًا.",""
"Required Offline","مطلوب أوفلاين",""
"Resolved Cash Account","حساب النقد المحدد",""
"Return Against","مرتجع مقابل",""
"Sales Invoice","فاتورة المبيعات",""
"Saturday","السبت",""
"Save","حفظ",""
"Save as Draft","حفظ كمسودة",""
"Save Changes To","حفظ التغييرات في",""
"Save POS As Sales Invoice","حفظ نقطة البيع كفاتورة مبيعات",""
"Saving offline invoice...","جاري حفظ الفاتورة أوفلاين...",""
"Scheduled In Time","وقت الحضور المجدول",""
"Scheduled Out Time","وقت الانصراف المجدول",""
"Scope","النطاق",""
"Script Name","اسم السكربت",""
"Search by invoice id, customer name, or scan invoice barcode","ابحث برقم الفاتورة أو اسم العميل أو امسح باركود الفاتورة",""
"Search by item code, serial number or barcode","ابحث برمز الصنف أو الرقم التسلسلي أو الباركود",""
"Searchable","قابل للبحث",""
"Section","القسم",""
"Security","الأمان",""
"Sell on Credit","البيع بالآجل",""
"Send to Cashier","إرسال إلى الكاشير",""
"Send to Cashier failed","تعذر الإرسال إلى الكاشير",""
"Serial Printer Label","تسمية الطابعة التسلسلية",""
"Serial printer paired.","تم إقران طابعة Serial.",""
"Serial USB Product ID","معرّف منتج USB للطابعة التسلسلية",""
"Serial USB Vendor ID","معرّف مزود USB للطابعة التسلسلية",""
"Server is offline","الخادم غير متصل",""
"Server is online","الخادم متصل",""
"Settings Storage","مكان حفظ الإعدادات",""
"Show in Menu","إظهار في القائمة",""
"Show in Offline List","إظهار في قائمة الأوفلاين",""
"Show Invoice Barcode","إظهار باركود الفاتورة",""
"Show item cart quantity counter","إظهار عداد كمية الأصناف في السلة",""
"Show Item Cart Quantity Counter","إظهار عداد كمية الأصناف في السلة",""
"Silent Print Mode","وضع الطباعة الصامتة",""
"SR.No","الرقم التسلسلي",""
"Stackable","قابل للتجميع",""
"Start Time","وقت البدء",""
"Statement of Account","كشف الحساب",""
"Statement of Account Entry","حركة كشف الحساب",""
"Status","الحالة",""
"Stock Balance Import","استيراد رصيد المخزون",""
"Stock Balance Import Item","صنف استيراد رصيد المخزون",""
"Stop Bits","بتات التوقف",""
"Structure Details","تفاصيل الهيكل",""
"Structure Name","اسم الهيكل",""
"Sunday","الأحد",""
"Supervisor Approval","موافقة المشرف",""
"Supervisor Override Permissions","صلاحيات تجاوز المشرف",""
"Supervisor User","مستخدم المشرف",""
"Sync","مزامنة",""
"Sync All","مزامنة الكل",""
"Sync Failed","فشلت المزامنة",""
"Sync Order","ترتيب المزامنة",""
"Sync Payment","مزامنة الدفع",""
"Synced","تمت المزامنة",""
"Syncing","جاري المزامنة",""
"Syncing offline invoices...","جاري مزامنة فواتير الأوفلاين...",""
"Syncing...","جاري المزامنة...",""
"Target","الهدف",""
"Target Warehouse","المستودع المستهدف",""
"Tax Amount","مبلغ الضريبة",""
"Test Print","طباعة تجريبية",""
"Test print sent. Settings were not saved.","تم إرسال الطباعة التجريبية. لم يتم حفظ الإعدادات.",""
"The draft was saved for the cashier, but printing failed. Retry Send to Cashier to print it before starting a new order.","تم حفظ المسودة للكاشير، لكن الطباعة فشلت. أعد الضغط على إرسال إلى الكاشير لطباعة السند قبل بدء طلب جديد.",""
"Theme Name","اسم السمة",""
"This Browser","هذا المتصفح",""
"This invoice cannot be sent to cashier.","لا يمكن إرسال هذه الفاتورة إلى الكاشير.",""
"This invoice has no outstanding amount.","لا يوجد مبلغ مستحق على هذه الفاتورة.",""
"Thursday","الخميس",""
"Title","العنوان",""
"Toggle Recent Orders","إظهار / إخفاء الطلبات الأخيرة",""
"Total","الإجمالي",""
"Total Qty","إجمالي الكمية",""
"Tuesday","الثلاثاء",""
"UI M Setting","إعداد واجهة M",""
"UI Setting","إعداد الواجهة",""
"UI Theme","سمة الواجهة",""
"UI Theme Setting","إعدادات سمة الواجهة",""
"USB Printer Label","تسمية طابعة USB",""
"USB printer paired.","تم إقران طابعة USB.",""
"USB Product ID","معرّف منتج USB",""
"USB Serial Number","الرقم التسلسلي لـ USB",""
"USB Vendor ID","معرّف مزود USB",""
"Use Background Job (for large data)","استخدام مهمة خلفية (للبيانات الكبيرة)",""
"Use ERP Default Margin","استخدام هوامش ERP الافتراضية",""
"use_transaction_currency","استخدام عملة المعاملة",""
"Used","المستخدم",""
"Used only in Custom URL mode.","يُستخدم فقط في وضع الرابط المخصص.",""
"Using POS Profile defaults","يتم استخدام الإعدادات الافتراضية لملف تعريف نقطة البيع",""
"Valid From","صالح من",""
"Valid Upto","صالح حتى",""
"Validity","الصلاحية",""
"Validity and Usage","الصلاحية والاستخدام",""
"Valuation Rate","سعر التقييم",""
"Warehouse","المستودع",""
"Wednesday","الأربعاء",""
"Weekdays","أيام الأسبوع",""
"Withdrawal Offset Account","الحساب المقابل للسحب",""
"WMN DEBUG ERROR: {0}","خطأ تصحيح WMN: {0}",""
"WMN POS Cash Movement","حركة نقدية لنقطة بيع WMN",""
"WMN POS Cash Movement Profile","إعدادات الحركة النقدية لنقطة بيع WMN",""
"WMN POS Cashier Permission","صلاحيات كاشير نقطة بيع WMN",""
"WMN POS Closing Cash Movement","حركة نقدية لإغلاق نقطة بيع WMN",""
"WMN POS Closing Sales Invoice","فاتورة مبيعات إغلاق نقطة بيع WMN",""
"WMN POS Coupon","كوبون نقطة بيع WMN",""
"WMN POS Coupon Redemption","استخدام كوبون نقطة بيع WMN",""
"WMN POS Dialog Script","سكربت حوار نقطة بيع WMN",""
"WMN POS Menu Item","عنصر قائمة نقطة بيع WMN",""
"WMN POS Menu Settings","إعدادات قائمة نقطة بيع WMN",""
"WMN POS Offline","نقطة بيع WMN أوفلاين",""
"WMN POS Offline DocType","نوع مستند أوفلاين لنقطة بيع WMN",""
"WMN POS Offline Field","حقل أوفلاين لنقطة بيع WMN",""
"WMN POS Profile Settings","إعدادات ملف تعريف نقطة بيع WMN",""
"WMN POS Promotion","عرض ترويجي لنقطة بيع WMN",""
"WMN POS Promotion Redemption","استخدام عرض ترويجي لنقطة بيع WMN",""
"WMN POS Supervisor","مشرف نقطة بيع WMN",""
"WMN POS Supervisor Approval","موافقة مشرف نقطة بيع WMN",""
"WMN POS Supervisor Settings","إعدادات مشرف نقطة بيع WMN",""
"WMN Print Settings","إعدادات طباعة WMN",""
"WMN Settings","إعدادات WMN",""
"WMN Windows Bridge","جسر WMN لويندوز",""
"Workflow State","حالة سير العمل",""
"Workspace","مساحة العمل",""
"Workspace Cache Item","عنصر كاش مساحة العمل",""
"Workspace Cache Manager","مدير كاش مساحة العمل",""
"Workspace Name","اسم مساحة العمل",""
"workspace_navigation_mode","وضع التنقل في مساحة العمل",""
"Workspaces","مساحات العمل",""
"You do not have permission to update this POS Profile.","ليس لديك صلاحية لتحديث ملف تعريف نقطة البيع هذا.",""
"Price Checker","فاحص الأسعار",""
"WMN Price Checker","فاحص أسعار WMN",""
"Scan an item barcode to display its current POS price and stock.","امسح باركود الصنف لعرض سعر نقطة البيع الحالي والمخزون.",""
"Scan barcode or enter item code...","امسح الباركود أو أدخل كود الصنف...",""
"Ready to scan","جاهز للمسح",""
"Keep the barcode field focused and scan an item.","أبقِ حقل الباركود نشطًا وامسح الصنف.",""
"Looking up item...","جارٍ البحث عن الصنف...",""
"Item not found","الصنف غير موجود",""
"The scanned barcode is not available for this POS Profile.","الباركود الممسوح غير متاح في ملف نقطة البيع هذا.",""
"Unable to check price","تعذر فحص السعر",""
"In Stock","متوفر في المخزون",""
"Out of Stock","غير متوفر في المخزون",""
"Offline data","بيانات أوفلاين",""
"Online data","بيانات أونلاين",""
"Barcode Printer","طابعة الباركود",""
"WMN Barcode Printer","طابعة باركود WMN",""
"Barcode Labels","ملصقات الباركود",""
"Search item name, code, or barcode...","ابحث باسم الصنف أو الكود أو الباركود...",""
"Custom size","مقاس مخصص",""
"Width mm","العرض مم",""
"Height mm","الارتفاع مم",""
"Show price on label","إظهار السعر على الملصق",""
"Search for items to add labels.","ابحث عن أصناف لإضافة ملصقات.",""
"No items selected.","لم يتم اختيار أصناف.",""
"Print Labels","طباعة الملصقات",""
"No items found.","لم يتم العثور على أصناف.",""
"Searching...","جارٍ البحث...",""
"barcode(s)","باركود",""
"label(s)","ملصق",""
"Remove","حذف",""
"Select at least one item to print.","اختر صنفًا واحدًا على الأقل للطباعة.",""
"Invalid barcode","باركود غير صالح",""
"Barcode renderer is not cached yet. Open Barcode Printer once while Online, then it can be used Offline.","محرك الباركود غير مخزن محليًا بعد. افتح طابعة الباركود مرة واحدة أثناء الأونلاين ثم يمكن استخدامها أوفلاين.",""
"Frappe barcode renderer is not available.","محرك باركود Frappe غير متاح.",""
"WMN offline POS data is not loaded. Open POS online once to preload local data.","بيانات نقطة البيع المحلية غير محملة. افتح نقطة البيع أونلاين مرة واحدة لتحميل البيانات المحلية.",""
"Price Checker is not loaded.","فاحص الأسعار غير محمل.",""
"Barcode Printer is not loaded.","طابعة الباركود غير محملة.",""
Frappe (Auto),Frappe (تلقائي),
Add Manual Barcode,إضافة باركود يدوي,
Barcode Number,رقم الباركود,
Barcode Type,نوع الباركود,
Label Text,نص الملصق,
Price,السعر,
Add Barcode,إضافة باركود,
Manual barcode must contain numbers only.,يجب أن يحتوي الباركود اليدوي على أرقام فقط.,
Manual Barcode,باركود يدوي,
Manual barcode - no Item required,باركود يدوي - لا يتطلب صنفًا,
No printable barcode for this item.,لا يوجد باركود قابل للطباعة لهذا الصنف.,
